"X_COORD","Y_COORD","sum_Total"
"958633.991787","1853079.14739",206.3
"958633.991787","1853129.14739",38.56
"958683.991787","1852929.14739",161.83
"958683.991787","1852979.14739",125.75
"958683.991787","1853029.14739",125.69
"958733.991787","1852379.14739",0.33
"958733.991787","1852929.14739",62.01
"958733.991787","1852979.14739",158.16
"958733.991787","1853029.14739",62.06
"958783.991787","1852429.14739",0.16
"958783.991787","1852879.14739",0.52
"958783.991787","1852929.14739",7.56
"958783.991787","1852979.14739",4.82
"958783.991787","1853479.14739",0.49
"958833.991787","1852929.14739",16.48
"958833.991787","1853479.14739",1.21
"958833.991787","1853829.14739",0.29
"958833.991787","1854379.14739",14.16
"958833.991787","1854429.14739",0.07
"958883.991787","1851029.14739",0.09
"958883.991787","1851129.14739",0.23
"958883.991787","1851229.14739",0.1
"958883.991787","1851929.14739",0.01
"958883.991787","1852829.14739",0.15
"958883.991787","1852879.14739",45.25
"958883.991787","1852929.14739",14.97
"958883.991787","1852979.14739",1.28
"958883.991787","1853329.14739",0
"958883.991787","1853429.14739",0.68
"958883.991787","1853579.14739",1.38
"958883.991787","1853679.14739",1.4
"958883.991787","1853829.14739",0.87
"958883.991787","1854029.14739",0.02
"958883.991787","1854429.14739",0.09
"958933.991787","1850829.14739",2.91
"958933.991787","1850879.14739",0.08
"958933.991787","1850929.14739",0.41
"958933.991787","1850979.14739",0.07
"958933.991787","1851029.14739",0.46
"958933.991787","1851079.14739",0.1
"958933.991787","1852229.14739",0.48
"958933.991787","1852529.14739",0
"958933.991787","1852829.14739",3.21
"958933.991787","1852879.14739",95.54
"958933.991787","1853329.14739",0
"958933.991787","1854079.14739",1.63
"958933.991787","1854329.14739",16.76
"958983.991787","1850979.14739",0
"958983.991787","1851029.14739",2.67
"958983.991787","1851079.14739",1.16
"958983.991787","1851129.14739",1.08
"958983.991787","1852529.14739",0.05
"958983.991787","1852879.14739",84.86
"958983.991787","1852929.14739",8.97
"958983.991787","1852979.14739",12.5
"958983.991787","1853229.14739",4.15
"958983.991787","1853279.14739",2.26
"958983.991787","1854079.14739",76.75
"958983.991787","1854179.14739",16.76
"958983.991787","1854279.14739",16.76
"959033.991787","1851129.14739",0.48
"959033.991787","1851179.14739",0.58
"959033.991787","1851229.14739",0.59
"959033.991787","1851279.14739",0.09
"959033.991787","1852829.14739",0.56
"959033.991787","1852879.14739",47.22
"959033.991787","1853179.14739",6.41
