집계년월,시군명,시설번호,놀이시설명,설치일자,설치장소,민간공공구분명,실내외구분명,소재지우편번호,소재지지번주소,소재지도로명주소,경도,위도,Ride_risk,accident
201606,고양시,37580,향나무 어린이공원 놀이터(일산7호 어린이공원),20090723,도시공원,공공,실외,10424,경기도 고양시 일산동구 백석동 1437번지,경기도 고양시 일산동구 호수로430번길 29-14,126.7802911,37.64448932,0.4,0.13
201606,고양시,23112,서정마을 4단지 어린이 놀이시설 2 (402동),20080610,주택단지,민간,실외,10491,경기도 고양시 덕양구 행신동 1068번지 서정마을4단지아파트,,126.85162,37.62094282,0.3,0.06
201606,고양시,28016,행신6호 어린이공원 놀이터,19971231,도시공원,공공,실외,10527,경기도 고양시 덕양구 행신동 768,,126.8373405,37.61404921,0.4,0.13
201606,고양시,28017,행신5호 어린이공원 놀이터,19971231,도시공원,공공,실외,10525,경기도 고양시 덕양구 행신동 755,,126.8354783,37.61613685,0.4,0.13
201606,고양시,28018,행신3호 어린이공원 놀이터,19971231,도시공원,공공,실외,10524,경기도 고양시 덕양구 행신동 734,,126.8325637,37.61777245,0.4,0.13
201606,고양시,28019,행신1호 어린이공원 놀이터,19971231,도시공원,공공,실외,10521,경기도 고양시 덕양구 행신동 694,,126.8296767,37.61724568,0.4,0.13
201606,고양시,28101,냉천 어린이공원 놀이터(일산14호 어린이공원),20100408,도시공원,공공,실외,10407,경기도 고양시 일산동구 마두동 837번지,경기도 고양시 일산동구 일산로330번길 26-11,126.7860676,37.66470879,0.4,0.13
201606,고양시,28102,밤가시 어린이공원 놀이터(일산15-1호 어린이공원),20100408,도시공원,공공,실외,,,,,,0.4,0.13
201606,고양시,28109,백마마을2단지 극동삼환아파트 204동 옆 제1놀이터,20100409,주택단지,민간,실외,10416,경기도 고양시 일산동구 마두동 739번지 백마마을2단지아파트,,126.7882972,37.65399136,0.3,0.06
201606,고양시,28119,화정14호 어린이공원 놀이터,19941231,도시공원,공공,실외,10476,경기도 고양시 덕양구 화정동 921,,126.8307357,37.63933007,0.4,0.13
201606,고양시,28120,화정12호 어린이공원 놀이터,19941231,도시공원,공공,실외,,경기도 고양시 덕양구 화정동 869,,126.8343965,37.64380417,0.4,0.13
201606,고양시,28121,화정10호 어린이공원 놀이터,19941231,도시공원,공공,실외,,경기도 고양시 덕양구 화정동 857,,126.8339005,37.64768664,0.4,0.13
201606,고양시,28124,성사3호(성라) 어린이공원 놀이터,19951231,도시공원,공공,실외,10469,경기도 고양시 덕양구 성사동 735,,126.8332572,37.65155087,0.4,0.13
201606,고양시,28126,주교2호 어린이공원 놀이터,19901231,도시공원,공공,실외,10464,경기도 고양시 덕양구 성사동 705번지,경기도 고양시 덕양구 호국로790번길 42-9,126.8382014,37.65504462,0.4,0.13
201606,고양시,28128,주교5호 어린이공원 놀이터,19901231,도시공원,공공,실외,10460,경기도 고양시 덕양구 주교동 592-2번지,경기도 고양시 덕양구 원당로59번길 71,126.8306997,37.65985409,0.4,0.13
201606,고양시,28129,주교6호 어린이공원 놀이터,19901231,도시공원,공공,실외,10459,경기도 고양시 덕양구 주교동 587번지,경기도 고양시 덕양구 마상로102번길 51,126.8332847,37.65935329,0.4,0.13
201606,고양시,28132,토당1호 어린이공원 놀이터,19901231,도시공원,공공,실외,10507,경기도 고양시 덕양구 토당동 838,,126.8218495,37.6268293,0.4,0.13
201606,고양시,28133,토당2호 어린이공원 놀이터,19901231,도시공원,공공,실외,10511,경기도 고양시 덕양구 토당동 896,,126.8258131,37.62733085,0.4,0.13
201606,고양시,28135,토당4호 어린이공원 놀이터,19901231,도시공원,공공,실외,10515,경기도 고양시 덕양구 토당동 874-2,,126.8259534,37.62069089,0.4,0.13
201606,고양시,28136,토당5호 어린이공원 놀이터,19901231,도시공원,공공,실외,10510,경기도 고양시 덕양구 토당동 862-3,,126.8232954,37.61908314,0.4,0.13
201606,고양시,28289,탄현용현(어린이공원168호) 놀이터,20100526,도시공원,공공,실외,10239,경기도 고양시 일산서구 탄현동 111-1번지,경기도 고양시 일산서구 탄현로 139,126.7648528,37.70312098,0.4,0.13
201606,고양시,28306,에이스10차아파트 104동 옆 놀이터,20100526,주택단지,민간,실외,10347,경기도 고양시 일산서구 일산동 2041번지 에이스10차아파트,,126.7691572,37.69015576,0.3,0.06
201606,고양시,28549,화정16호 어린이공원 놀이터,19941231,도시공원,공공,실외,10498,경기도 고양시 덕양구 화정동 961번지 은빛마을11단지아파트,,126.8357633,37.63555322,0.4,0.13
201606,고양시,28550,능곡7호(벗나무) 어린이공원,19971231,도시공원,공공,실외,10492,경기도 고양시 덕양구 행신동 970번지,경기도 고양시 덕양구 행신로279번길 84,126.8428728,37.62219264,0.4,0.13
201606,고양시,28679,"일산 동문 2,3차 201동 앞 놀이터",20081218,주택단지,민간,실외,10352,경기도 고양시 일산서구 일산동 960-6번지 동문굿모닝힐2차아파트,,126.7640467,37.68576684,0.3,0.06
201606,고양시,28680,"일산동문 2,3차 203동 앞 놀이터",20081218,주택단지,민간,실외,10352,경기도 고양시 일산서구 일산동 960-6번지 동문굿모닝힐2차아파트,,126.7640467,37.68576684,0.3,0.06
201606,고양시,28686,별빛마을 8단지 어린이 놀이시설 3,20081202,주택단지,민간,실외,10501,경기도 고양시 덕양구 화정동 952번지 별빛마을8단지아파트,,126.8284869,37.63199286,0.3,0.06
201606,고양시,28688,별빛마을 8단지 어린이 놀이시설 1,20081202,주택단지,민간,실외,10501,경기도 고양시 덕양구 화정동 952번지 별빛마을8단지아파트,,126.8284869,37.63199286,0.3,0.06
201606,고양시,28793,호수어린이집 놀이터,20090311,어린이집,민간,실외,10413,경기도 고양시 일산동구 장항동 883번지,경기도 고양시 일산동구 노루목로 107,126.7761268,37.65018453,0.2,0.035
201606,고양시,28853,현중(탄현3호) 어린이공원 놀이터,20081229,도시공원,공공,실외,10240,경기도 고양시 일산서구 탄현동 1479번지,경기도 고양시 일산서구 현중로 62,126.7684003,37.69651504,0.4,0.13
201606,고양시,28867,황룡(탄현1호)어린이공원 놀이터,20081229,도시공원,공공,실외,10240,경기도 고양시 일산서구 탄현동 1474번지,경기도 고양시 일산서구 탄현로 75,126.7680664,37.69810007,0.4,0.13
