gid,경도,위도
다바572511,127.0216733000,36.6573165500
다바572512,127.0216677000,36.6582180200
다바572513,127.0216621000,36.6591194800
다바572514,127.0216565000,36.6600209400
다바572515,127.0216510000,36.6609224100
다바572516,127.0216454000,36.6618238700
다바572517,127.0216398000,36.6627253300
다바572518,127.0216342000,36.6636268000
다바572519,127.0216287000,36.6645282600
다바572520,127.0216231000,36.6654297200
다바572521,127.0216175000,36.6663311800
다바572522,127.0216119000,36.6672326500
다바572523,127.0216063000,36.6681341100
다바572524,127.0216008000,36.6690355700
다바572525,127.0215952000,36.6699370300
다바572526,127.0215896000,36.6708384900
다바572527,127.0215840000,36.6717399500
다바572528,127.0215784000,36.6726414100
다바572529,127.0215729000,36.6735428800
다바572530,127.0215673000,36.6744443400
다바572531,127.0215617000,36.6753458000
다바572532,127.0215561000,36.6762472600
다바572533,127.0215505000,36.6771487200
다바572534,127.0215449000,36.6780501800
다바572535,127.0215394000,36.6789516400
다바572536,127.0215338000,36.6798531000
다바572537,127.0215282000,36.6807545600
다바573505,127.0228255000,36.6519122600
다바573506,127.0228199000,36.6528137200
다바573507,127.0228144000,36.6537151900
다바573508,127.0228088000,36.6546166500
다바573509,127.0228033000,36.6555181100
다바573510,127.0227977000,36.6564195800
다바573511,127.0227921000,36.6573210400
다바573512,127.0227866000,36.6582225100
다바573513,127.0227810000,36.6591239700
다바573514,127.0227754000,36.6600254300
다바573515,127.0227699000,36.6609269000
다바573516,127.0227643000,36.6618283600
다바573517,127.0227587000,36.6627298200
다바573518,127.0227532000,36.6636312800
다바573519,127.0227476000,36.6645327500
다바573520,127.0227420000,36.6654342100
다바573521,127.0227365000,36.6663356700
다바573522,127.0227309000,36.6672371300
다바573523,127.0227253000,36.6681386000
다바573524,127.0227198000,36.6690400600
다바573525,127.0227142000,36.6699415200
다바573526,127.0227086000,36.6708429800
다바573527,127.0227031000,36.6717444400
다바573528,127.0226975000,36.6726459100
다바573529,127.0226919000,36.6735473700
다바573530,127.0226864000,36.6744488300
다바573531,127.0226808000,36.6753502900
다바573532,127.0226752000,36.6762517500
다바573533,127.0226697000,36.6771532100
다바573534,127.0226641000,36.6780546700
다바573535,127.0226585000,36.6789561300
다바573536,127.0226530000,36.6798575900
다바573537,127.0226474000,36.6807590500
다바573538,127.0226418000,36.6816605100
다바574507,127.0239332000,36.6537196600
다바574508,127.0239276000,36.6546211300
다바574509,127.0239221000,36.6555225900
다바574510,127.0239165000,36.6564240600
다바574511,127.0239110000,36.6573255200
다바574512,127.0239054000,36.6582269800
다바574513,127.0238999000,36.6591284500
다바574514,127.0238943000,36.6600299100
다바574515,127.0238888000,36.6609313700
다바574516,127.0238832000,36.6618328400
다바574517,127.0238777000,36.6627343000
다바574518,127.0238721000,36.6636357600
다바574519,127.0238666000,36.6645372300
다바574520,127.0238610000,36.6654386900
다바574521,127.0238555000,36.6663401500
다바574522,127.0238499000,36.6672416100
다바574523,127.0238444000,36.6681430800
다바574524,127.0238388000,36.6690445400
다바574525,127.0238333000,36.6699460000
다바574526,127.0238277000,36.6708474600
다바574527,127.0238221000,36.6717489200
다바574528,127.0238166000,36.6726503900
다바574529,127.0238110000,36.6735518500
다바574530,127.0238055000,36.6744533100
다바574531,127.0237999000,36.6753547700
다바574532,127.0237944000,36.6762562300
다바574533,127.0237888000,36.6771576900
다바574534,127.0237833000,36.6780591500
다바574535,127.0237777000,36.6789606100
다바574536,127.0237721000,36.6798620700
다바574537,127.0237666000,36.6807635300
다바574538,127.0237610000,36.6816649900
다바574539,127.0237555000,36.6825664500
다바574540,127.0237499000,36.6834679100
다바575509,127.0250409000,36.6555270600
다바575510,127.0250354000,36.6564285200
다바575511,127.0250298000,36.6573299900
다바575512,127.0250243000,36.6582314500
다바575513,127.0250188000,36.6591329100
다바575514,127.0250132000,36.6600343800
다바575515,127.0250077000,36.6609358400
다바575516,127.0250022000,36.6618373000
다바575517,127.0249966000,36.6627387700
다바575518,127.0249911000,36.6636402300
다바575519,127.0249855000,36.6645416900
다바575520,127.0249800000,36.6654431600
