"gid","주차장","건물1","건물2","건물3","관공서","생산가능인구","전기차","충전소","교통량","유동인구","경도","위도","거리_전기차","거리_충전소","거리_교통량"
"다바795579",0,0,0,0,0,0,0,0,0,0,127.2710019,36.71935806,0,0,0
"다바795578",0,0,0,0,0,0,0,0,0,0,127.2710046,36.71845659,0,0,0
"다바795577",0,0,0,0,0,0,0,0,0,0,127.2710072,36.71755511,0,0,0
"다바795576",0,0,0,0,0,0,0,0,0,0,127.2710099,36.71665363,0,0,0
"다바795575",0,1,0,0,0,0,0,0,0,0,127.2710126,36.71575215,0,0,0
"다바795574",0,0,0,0,0,0,0,0,0,0,127.2710153,36.71485067,0,0,0
"다바795573",0,0,0,0,0,0,0,0,0,0.01,127.2710179,36.71394919,0,0,0
"다바795572",0,5,0,0,0,0,0,0,0,1.34,127.2710206,36.71304771,0,0,0
"다바795571",0,8,0,0,0,0,0,0,0,4.51,127.2710233,36.71214623,0,0,0
"다바795570",0,0,0,0,0,0,0,0,0,1.19,127.271026,36.71124475,0,0,0
"다바795569",0,0,0,0,0,0,0,0,0,0,127.2710286,36.71034327,0,0,0
"다바795568",0,0,0,0,0,0,0,0,0,5.13,127.2710313,36.70944179,0,1,0
"다바795567",0,0,0,0,0,0,0,0,0,1.53,127.271034,36.70854031,0,1,0
"다바795566",0,0,0,0,0,0,0,0,0,0,127.2710367,36.70763883,0,1,0
"다바795565",0,0,0,0,0,0,0,0,0,20.54,127.2710393,36.70673735,0,1,0
"다바795564",0,0,0,0,0,0,0,0,0,0,127.271042,36.70583587,0,1,0
"다바795563",0,0,0,0,0,0,0,0,0,0,127.2710447,36.70493439,0,1,0
"다바795562",0,0,0,0,0,0,0,0,0,0,127.2710474,36.70403291,0,1,0
"다바795561",0,0,0,0,0,0,0,0,0,0.31,127.27105,36.70313143,0,1,0
"다바795560",0,5,0,0,0,0,0,0,0,2.13,127.2710527,36.70222995,0,1,0
"다바795559",0,0,0,0,0,0,0,0,0,0.7,127.2710554,36.70132847,0,0,0
"다바795558",0,0,0,0,0,0,0,0,0,0,127.2710581,36.70042699,0,0,0
"다바795557",0,0,0,0,0,0,0,0,0,0,127.2710607,36.69952551,0,0,0
"다바795556",0,0,0,0,0,0,0,0,0,0,127.2710634,36.69862402,0,0,0
"다바795555",0,0,0,0,0,0,0,0,0,0.21,127.2710661,36.69772254,0,0,0
"다바795554",0,0,0,0,0,0,0,0,0,0,127.2710688,36.69682106,0,0,0
"다바795553",0,0,0,0,0,0,0,0,0,0,127.2710714,36.69591958,0,0,0
"다바795552",0,0,0,0,0,0,0,0,0,0,127.2710741,36.6950181,0,0,0
"다바795551",0,0,0,0,0,0,0,0,0,0,127.2710768,36.69411661,0,0,0
"다바794795",0,0,0,0,0,0,0,0,0,0,127.2692985,36.91407203,0,0,0
"다바794794",0,4,0,0,0,0,0,0,0,221.77,127.2693012,36.91317058,0,0,0
"다바794793",0,0,0,0,0,0,0,0,0,21.69,127.2693039,36.91226913,0,0,0
"다바794792",0,0,0,0,0,0,0,0,0,0,127.2693066,36.91136768,0,0,0
"다바794791",0,0,0,0,0,0,0,0,0,0,127.2693093,36.91046623,0,0,0
"다바794790",0,0,0,0,0,0,0,0,0,0,127.2693121,36.90956478,0,0,0
"다바794789",0,0,0,0,0,0,0,0,0,0,127.2693148,36.90866333,0,0,0
"다바794788",0,0,0,0,0,0,0,0,0,0,127.2693175,36.90776188,0,0,0
"다바794787",0,0,0,0,0,0,0,0,0,0,127.2693202,36.90686043,0,0,0
"다바794786",0,0,0,0,0,0,0,0,0,0,127.2693229,36.90595898,0,0,0
"다바794785",0,0,0,0,0,0,0,0,0,0,127.2693256,36.90505753,0,0,0
"다바794784",0,0,0,0,0,0,0,0,0,0,127.2693283,36.90415608,0,0,0
"다바794783",0,0,0,0,0,0,0,0,0,0,127.2693311,36.90325463,0,0,0
"다바794782",0,0,0,0,0,0,0,0,0,0,127.2693338,36.90235318,0,0,0
"다바794781",0,0,0,0,0,0,0,0,0,0,127.2693365,36.90145173,0,0,0
"다바794780",0,0,0,0,0,0,0,0,0,0,127.2693392,36.90055028,0,0,0
"다바794779",0,0,0,0,0,0,0,0,0,0,127.2693419,36.89964883,0,0,0
"다바794778",0,0,0,0,0,0,0,0,0,0,127.2693446,36.89874738,0,0,0
"다바794777",0,0,0,0,0,0,0,0,0,0,127.2693473,36.89784593,0,0,0
"다바794776",0,0,0,0,0,0,0,0,0,0,127.26935,36.89694448,0,0,0
"다바794775",0,0,0,0,0,0,0,0,0,0,127.2693528,36.89604303,0,0,0
"다바794774",0,0,0,0,0,0,0,0,0,0,127.2693555,36.89514158,0,0,0
"다바794773",0,0,0,0,0,0,0,0,0,0,127.2693582,36.89424012,0,0,0
"다바794772",0,0,0,0,0,0,0,0,0,0,127.2693609,36.89333867,0,0,0
"다바794771",0,0,0,0,0,0,0,0,0,0,127.2693636,36.89243722,0,0,0
"다바794770",0,0,0,0,0,0,0,0,0,0,127.2693663,36.89153577,0,0,0
"다바794769",0,0,0,0,0,0,0,0,0,0,127.269369,36.89063432,0,0,0
"다바794768",0,0,0,0,0,0,0,0,0,0,127.2693717,36.88973286,0,0,0
"다바794767",0,0,0,0,0,0,0,0,0,0,127.2693745,36.88883141,0,0,0
"다바794766",0,0,0,0,0,0,0,0,0,0.2,127.2693772,36.88792996,0,0,0
"다바794765",0,0,0,0,0,0,0,0,0,2.2,127.2693799,36.88702851,0,0,0
"다바794764",0,0,0,0,0,0,0,0,0,1.74,127.2693826,36.88612705,0,0,0
"다바794763",0,0,0,0,0,0,0,0,0,0,127.2693853,36.8852256,0,0,0
"다바794762",0,0,0,0,0,0,0,0,0,61.09,127.269388,36.88432415,0,0,0
"다바794761",0,0,0,0,0,0,0,0,0,17.97,127.2693907,36.88342269,0,0,0
"다바794760",0,0,0,0,0,0,0,0,0,1.56,127.2693934,36.88252124,0,0,0
"다바794759",0,0,0,0,0,0,0,0,0,0,127.2693961,36.88161979,0,0,0
"다바794758",0,0,0,0,0,0,0,0,0,0,127.2693989,36.88071833,0,0,0
"다바794757",0,0,0,0,0,0,0,0,0,0,127.2694016,36.87981688,0,0,0
"다바794756",0,0,0,0,0,0,0,0,0,0,127.2694043,36.87891542,0,0,0
"다바794755",0,0,0,0,0,0,0,0,0,0,127.269407,36.87801397,0,0,0
"다바794754",0,0,0,0,0,0,0,0,0,0,127.2694097,36.87711252,0,0,0
"다바794753",0,0,0,0,0,0,0,0,0,0,127.2694124,36.87621106,0,0,0
"다바794752",0,0,0,0,0,0,0,0,0,0,127.2694151,36.87530961,0,0,0
"다바794751",0,0,0,0,0,0,0,0,0,0,127.2694178,36.87440815,0,0,0
"다바794750",0,1,0,0,0,0,0,0,0,0,127.2694205,36.8735067,0,0,0
"다바794749",0,0,0,0,0,0,0,0,0,0.31,127.2694232,36.87260524,0,0,0
"다바794748",0,0,0,0,0,0,0,0,0,0,127.269426,36.87170379,0,0,0
"다바794747",0,0,0,0,0,0,0,0,0,53.06,127.2694287,36.87080233,0,0,0
"다바794746",0,0,0,0,0,0,0,0,0,72.63,127.2694314,36.86990088,0,0,0
"다바794745",0,0,0,0,0,0,0,0,0,6.38,127.2694341,36.86899942,0,0,0
"다바794744",0,0,0,0,0,0,0,0,0,0.32,127.2694368,36.86809797,0,0,0
"다바794743",0,0,0,0,0,0,0,0,0,0.37,127.2694395,36.86719651,0,0,0
"다바794742",0,0,0,0,0,0,0,0,0,0.05,127.2694422,36.86629505,0,0,0
"다바794741",0,0,0,0,0,0,0,0,0,0,127.2694449,36.8653936,0,0,0
"다바794740",0,0,0,0,0,0,0,0,0,0,127.2694476,36.86449214,0,0,0
"다바794739",0,0,0,0,0,0,0,0,0,0,127.2694503,36.86359069,0,0,0
"다바794738",0,0,0,0,0,0,0,0,0,0,127.269453,36.86268923,0,0,0
"다바794737",0,0,0,0,0,0,0,0,0,0,127.2694558,36.86178777,0,0,0
"다바794736",0,3,0,0,0,0,0,0,0,0,127.2694585,36.86088632,0,0,0
"다바794735",0,0,0,0,0,0,0,0,0,1.04,127.2694612,36.85998486,0,0,0
"다바794734",0,0,0,0,0,0,0,0,0,2.76,127.2694639,36.8590834,0,0,0
"다바794733",0,2,0,0,0,0,0,0,0,67.92,127.2694666,36.85818194,0,0,0
"다바794732",0,2,0,0,0,0,0,0,0,15.02,127.2694693,36.85728049,0,0,0
"다바794731",0,0,0,0,0,0,0,0,0,0,127.269472,36.85637903,0,0,0
"다바794730",0,0,0,0,0,0,0,0,0,0,127.2694747,36.85547757,0,0,0
"다바794729",0,0,0,0,0,0,0,0,0,0,127.2694774,36.85457611,0,0,0
"다바794728",0,0,0,0,0,0,0,0,0,0,127.2694801,36.85367466,0,0,0
"다바794727",0,0,0,0,0,0,0,0,0,0,127.2694828,36.8527732,0,0,0
"다바794726",0,0,0,0,0,0,0,0,0,0,127.2694855,36.85187174,0,0,0
"다바794725",0,0,0,0,0,0,0,0,0,0,127.2694882,36.85097028,0,0,0
"다바794724",0,2,0,0,0,0,0,0,0,0.08,127.2694909,36.85006882,0,0,0
"다바794723",0,1,0,0,0,0,0,0,0,0.11,127.2694937,36.84916736,0,0,0
"다바794722",0,0,0,0,0,0,0,0,0,0,127.2694964,36.84826591,0,0,0
"다바794721",0,0,0,0,0,0,0,0,0,0,127.2694991,36.84736445,0,0,0
"다바794720",0,0,0,0,0,0,0,0,0,0,127.2695018,36.84646299,0,0,0
"다바794719",0,0,0,0,0,0,0,0,0,0,127.2695045,36.84556153,0,0,0
"다바794718",0,0,0,0,0,0,0,0,0,0,127.2695072,36.84466007,0,0,0
"다바794717",0,0,0,0,0,0,0,0,0,0,127.2695099,36.84375861,0,0,0
"다바794716",0,0,0,0,0,0,0,0,0,0,127.2695126,36.84285715,0,0,0
"다바794715",0,0,0,0,0,0,0,0,0,0,127.2695153,36.84195569,0,0,0
"다바794714",0,0,0,0,0,0,0,0,0,0,127.269518,36.84105423,0,0,0
"다바794713",0,0,0,0,0,0,0,0,0,26.51,127.2695207,36.84015277,0,0,0
"다바794712",0,1,0,0,0,0,0,0,0,226.38,127.2695234,36.83925131,0,0,0
"다바794711",0,1,0,0,0,0,0,0,0,153.84,127.2695261,36.83834985,0,0,0
"다바794710",0,1,0,0,0,0,0,0,0,62.65,127.2695288,36.83744839,0,0,0
"다바794709",0,0,0,0,0,0,0,0,0,1.9,127.2695315,36.83654693,0,0,0
"다바794708",0,11,0,0,0,0,0,0,0,6.88,127.2695342,36.83564547,0,0,0
"다바794707",0,2,0,0,0,0,0,0,0,32.93,127.2695369,36.83474401,0,0,0
"다바794706",0,0,0,0,0,0,0,0,0,0,127.2695396,36.83384255,0,0,0
"다바794705",0,0,0,0,0,0,0,0,0,0.42,127.2695423,36.83294109,0,0,0
"다바794704",0,0,0,0,0,0,0,0,0,0,127.269545,36.83203963,0,0,0
"다바794703",0,0,0,0,0,0,0,0,0,0.62,127.2695478,36.83113817,0,0,0
"다바794702",0,0,0,0,0,0,0,0,0,2.87,127.2695505,36.8302367,1,0,0
"다바794701",0,0,0,0,0,0,0,0,0,0.16,127.2695532,36.82933524,1,0,0
"다바794700",0,0,0,0,0,0,0,0,0,0.03,127.2695559,36.82843378,1,0,0
"다바794699",0,0,0,0,0,0,0,0,0,0,127.2695586,36.82753232,1,0,0
"다바794698",0,0,0,0,0,0,0,0,0,0.45,127.2695613,36.82663086,1,0,0
"다바794697",0,0,0,0,0,0,0,0,0,0,127.269564,36.82572939,1,0,0
"다바794696",0,0,0,0,0,0,0,0,0,0,127.2695667,36.82482793,1,0,0
"다바794695",0,0,0,0,0,0,0,0,0,0,127.2695694,36.82392647,0,0,0
"다바794694",0,0,0,0,0,0,0,0,0,0,127.2695721,36.82302501,0,0,0
"다바794693",0,0,0,0,0,0,0,0,0,0,127.2695748,36.82212355,0,0,0
"다바794692",0,0,0,0,0,0,0,0,0,0.11,127.2695775,36.82122208,0,0,0
"다바794691",0,0,0,0,0,0,0,0,0,0,127.2695802,36.82032062,0,0,0
"다바794690",0,0,0,0,0,0,0,0,0,0,127.2695829,36.81941916,0,0,0
"다바794689",0,1,0,0,0,0,0,0,0,0.27,127.2695856,36.81851769,0,0,0
"다바794688",0,11,0,0,0,0,0,0,0,0.12,127.2695883,36.81761623,0,0,0
"다바794687",0,4,0,0,0,8,0,0,0,7.14,127.269591,36.81671477,0,0,0
"다바794686",0,0,0,0,0,0,0,0,0,0.12,127.2695937,36.8158133,0,0,0
"다바794685",0,0,0,0,0,0,0,0,0,0,127.2695964,36.81491184,0,0,0
"다바794684",0,0,0,0,0,0,0,0,0,0,127.2695991,36.81401038,0,0,0
