type,name,add1,add2,lat,lon
이동화장실,정림중보 옆,대전광역시 서구 괴곡동 515-5,,36.285141,127.356354
이동화장실,안구만리(축구장),대전광역시 대덕구 대화동 504-4,,36.368364,127.396891
이동화장실,체육시설,대전광역시 대덕구 오정동 461-3,,36.350125,127.405107
이동화장실,충남도시가스 앞,대전광역시 중구 중촌동 198-5,,36.346524,127.404341
이동화장실,중촌근린공원 앞,대전광역시 중구 중촌동 471-15,,36.340081,127.403464
이동화장실,수침교 상류,대전광역시 중구 태평동 284-2,,36.333461,127.397717
이동화장실,가장교 하류,대전광역시 중구 태평동 316,,36.328376,127.391857
이동화장실,삼부(아) 26동 앞,대전광역시 중구 태평동 515-12,,36.325161,127.389405
이동화장실,동양파라곤(아) 앞,대전광역시 중구 태평동 513-16,,36.321489,127.387041
이동화장실,유등교 상류,대전광역시 중구 유천동 473,,36.314653,127.387271
이동화장실,시외버스터미널 앞,대전광역시 중구 산성동 759-1,,36.312311,127.387645
이동화장실,도마교 상류,대전광역시 중구 산성동 200-2,,36.309953,127.386481
이동화장실,호남철교 상류 하부,대전광역시 중구 산성동 356-2,,36.308011,127.384729
이동화장실,버드내교 상부(한밭가든@위),대전광역시 중구 산성동 347-2천,,36.304121,127.382091
이동화장실,복수교 상류,대전광역시 중구 사정동 465-5,,36.298175,127.383558
이동화장실,안영교 상류,대전광역시 중구 안영동 617-1,,36.286211,127.378664
이동화장실,평송수련원 앞 입구,대전광역시 서구 둔산동 1746,,36.363768,127.394504
이동화장실,샘머리(아) 앞,대전광역시 서구 둔산동 1693,,36.361532,127.396462
이동화장실,한밭대교 위(보라@앞),대전광역시 서구 둔산동 2212,,36.353496,127.401905
이동화장실,용문교 상류1,대전광역시 서구 용문동 513-1,,36.344384,127.401885
