gid,주차장,건물1,건물2,건물3,관공서,생산가능인구,전기차,충전소,교통량,유동인구,경도,위도
다바621526,,0,0,0,0,,0,0,,,127.0764235,36.67104614
다바621525,,0,0,0,0,,0,0,,,127.0764284,36.67014468
다바621524,,0,0,0,0,,0,0,,,127.0764334,36.66924321
다바621523,,0,0,0,0,,0,0,,,127.0764383,36.66834174
다바621522,,0,0,0,0,,0,0,,,127.0764432,36.66744027
다바621521,,0,0,0,0,,0,0,,5.95,127.0764482,36.6665388
다바621520,,0,0,0,0,,0,0,,,127.0764531,36.66563733
다바621519,,0,0,0,0,,0,0,,,127.0764581,36.66473586
다바621518,,0,0,0,0,,0,0,,18.51,127.076463,36.66383439
다바621517,,0,0,0,0,,0,0,,0.2,127.0764679,36.66293292
다바621516,,5,0,0,0,,0,0,,0.01,127.0764729,36.66203145
다바621515,,0,0,0,0,,0,0,,,127.0764778,36.66112998
다바621514,,0,0,0,0,,0,0,,,127.0764828,36.66022851
다바621513,,0,0,0,0,,0,0,,25.4,127.0764877,36.65932704
다바621512,,0,0,0,0,,0,0,,21.12,127.0764926,36.65842557
다바621511,,0,0,0,0,,0,0,,2.69,127.0764976,36.6575241
다바621510,,0,0,0,0,,0,0,,,127.0765025,36.65662263
다바621509,,0,0,0,0,,0,0,,,127.0765074,36.65572116
다바621508,,0,0,0,0,,0,0,,,127.0765124,36.65481969
다바621507,,0,0,0,0,,0,0,,,127.0765173,36.65391822
다바621506,,0,0,0,0,,0,0,,,127.0765223,36.65301675
다바621505,,0,0,0,0,,0,0,,,127.0765272,36.65211528
다바621504,,0,0,0,0,,0,0,,,127.0765321,36.65121381
다바621503,,0,0,0,0,,0,0,,,127.0765371,36.65031234
다바621502,,0,0,0,0,,0,0,,,127.076542,36.64941087
다바621501,,0,0,0,0,,0,0,,,127.0765469,36.64850939
다바621500,,0,0,0,0,,0,0,,,127.0765519,36.64760792
다바621499,,0,0,0,0,,0,0,,,127.0765568,36.64670645
다바621498,,0,0,0,0,,0,0,,,127.0765617,36.64580498
다바621497,,0,0,0,0,,0,0,,,127.0765667,36.64490351
다바621496,,0,0,0,0,,0,0,,,127.0765716,36.64400203
다바621495,,0,0,0,0,,0,0,,,127.0765765,36.64310056
다바621494,,0,0,0,0,,0,0,,,127.0765815,36.64219909
다바620823,,0,0,0,0,,0,0,,,127.0738233,36.93877213
다바620822,,0,0,0,0,,0,0,,,127.0738284,36.9378707
다바620569,,0,0,0,0,,0,0,,0.31,127.0750912,36.70980516
다바620568,,0,0,0,0,,0,0,,,127.0750962,36.7089037
다바620567,,0,0,0,0,,0,0,,,127.0751011,36.70800224
다바620566,,0,0,0,0,,0,0,,,127.0751061,36.70710077
다바620565,,0,0,0,0,,0,0,,0.7,127.075111,36.70619931
다바620564,,0,0,0,0,,0,0,,,127.075116,36.70529785
다바620563,,3,0,0,0,,0,0,,,127.075121,36.70439639
다바620562,,0,0,0,0,,0,0,,,127.0751259,36.70349492
다바620561,,0,0,0,0,,0,0,,,127.0751309,36.70259346
다바620560,,0,0,0,0,,0,0,,,127.0751359,36.701692
다바620559,,0,0,0,0,,0,0,,,127.0751408,36.70079053
다바620558,,0,0,0,0,,0,0,,,127.0751458,36.69988907
다바620557,,0,0,0,0,,0,0,,,127.0751507,36.6989876
다바620556,,0,0,0,0,,0,0,,,127.0751557,36.69808614
다바620555,,0,0,0,0,,0,0,,,127.0751607,36.69718468
다바620554,,0,0,0,0,,0,0,,,127.0751656,36.69628321
다바620553,,0,0,0,0,,0,0,,,127.0751706,36.69538175
다바620552,,0,0,0,0,,0,0,,,127.0751755,36.69448028
다바620551,,0,0,0,0,,0,0,,0.32,127.0751805,36.69357882
다바620550,,2,0,0,0,,0,0,,1.96,127.0751855,36.69267735
다바620549,,1,0,0,0,,0,0,,8.71,127.0751904,36.69177589
다바620548,,2,0,0,0,,0,0,,206.47,127.0751954,36.69087442
다바620547,,3,1,0,0,,0,0,,182.29,127.0752003,36.68997296
다바620546,,1,0,0,0,,0,0,,30.22,127.0752053,36.68907149
