"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
7107,14110,127.2460916,36.75393153,"병원",2
2001,38582,127.1330309,36.80124973,"아파트",2
2001,38586,127.1325795,36.8011072,"아파트",2
2001,38577,127.1322455,36.80248723,"아파트",2
2001,38548,127.1319846,36.80028623,"아파트",2
2001,38550,127.1326319,36.80049194,"아파트",2
16001,38542,127.1349645,36.80157032,"주차장",2
2001,38613,127.1336539,36.8028625,"아파트",2
2001,53089,127.1929247,36.77168528,"아파트",2
2001,53105,127.1926986,36.77319631,"아파트",2
2001,53106,127.1924374,36.77272987,"아파트",2
2001,53100,127.1931819,36.77290169,"아파트",2
2001,53094,127.1939719,36.77221895,"아파트",2
2001,53112,127.1939794,36.77126513,"아파트",2
2001,53099,127.1927682,36.77236715,"아파트",2
2001,53098,127.1945229,36.77116911,"아파트",2
2001,53108,127.1934932,36.77155937,"아파트",2
2001,53096,127.1939908,36.77247595,"아파트",2
2001,53104,127.1951399,36.77170079,"아파트",2
2001,53103,127.1934661,36.77249835,"아파트",2
2001,53109,127.1946368,36.77203049,"아파트",2
2001,53110,127.1930974,36.77200616,"아파트",2
2001,53114,127.1930488,36.77155477,"아파트",2
2001,20668,127.2152317,36.77115789,"아파트",2
2001,20656,127.2159855,36.77273382,"아파트",2
2001,20661,127.2157917,36.77105352,"아파트",2
2001,20659,127.2157538,36.77233888,"아파트",2
2001,20665,127.2153462,36.77156352,"아파트",2
2001,20657,127.215565,36.77194778,"아파트",2
2001,20667,127.2159067,36.77145905,"아파트",2
2001,20670,127.2153073,36.770702,"아파트",2
2001,20660,127.2151545,36.77030519,"아파트",2
2001,16068,127.1632198,36.81805632,"아파트",2
2001,16079,127.1619339,36.82026775,"아파트",2
16001,155504,127.1587063,36.81709942,"주차장",2
2001,40993,127.1622322,36.8199695,"아파트",2
16001,40992,127.1628358,36.82033702,"주차장",2
2001,153234,127.1613101,36.81704326,"아파트",2
2001,153235,127.1620627,36.81705614,"아파트",2
2001,153236,127.1627352,36.81704887,"아파트",2
2001,153237,127.1633681,36.81704801,"아파트",2
2001,153238,127.1639377,36.81704535,"아파트",2
2001,153239,127.1645684,36.81705957,"아파트",2
2001,153240,127.1645806,36.81654269,"아파트",2
2001,153241,127.1639435,36.81655018,"아파트",2
2001,153242,127.1633308,36.81655413,"아파트",2
2001,153243,127.1627336,36.8165643,"아파트",2
2001,153245,127.1613166,36.8165781,"아파트",2
2001,153246,127.1613624,36.81578612,"아파트",2
2001,153247,127.1620268,36.81573434,"아파트",2
2001,153248,127.1623044,36.8160361,"아파트",2
2001,153249,127.1627151,36.81572386,"아파트",2
2001,153250,127.1633598,36.81571027,"아파트",2
2001,153251,127.1636176,36.81603113,"아파트",2
2001,153252,127.1643013,36.81572806,"아파트",2
2001,153254,127.1646856,36.81602013,"아파트",2
2001,153244,127.1620725,36.81656831,"아파트",2
2001,153232,127.1606071,36.81657767,"아파트",2
2001,153233,127.1602159,36.81650754,"아파트",2
2001,153231,127.1603619,36.81695323,"아파트",2
2001,69695,127.1640114,36.81501382,"아파트",2
2001,69701,127.1638151,36.81434005,"아파트",2
2001,69696,127.1637947,36.81479402,"아파트",2
2001,69698,127.163783,36.8145679,"아파트",2
2001,69689,127.1646061,36.81512634,"아파트",2
2001,69693,127.1645723,36.81468826,"아파트",2
7107,63322,127.1189605,36.78706466,"병원",2
2001,55033,127.2952332,36.76068695,"아파트",2
2001,54945,127.2962705,36.75913081,"아파트",2
2001,55020,127.295833,36.75971766,"아파트",2
2001,72435,127.177222,36.83014598,"아파트",2
2001,72430,127.1774126,36.82970514,"아파트",2
2001,72425,127.1778088,36.8296965,"아파트",2
2001,72441,127.1771934,36.82975628,"아파트",2
2001,72437,127.1769517,36.8301257,"아파트",2
2001,72439,127.1764117,36.83004884,"아파트",2
2001,72426,127.1780029,36.83017926,"아파트",2
2001,72432,127.1780288,36.83006536,"아파트",2
2001,72433,127.1776895,36.83018088,"아파트",2
2001,72434,127.1773932,36.830113,"아파트",2
2001,72442,127.1769047,36.82975611,"아파트",2
2001,72436,127.1766829,36.8301286,"아파트",2
2001,72438,127.1768163,36.83003103,"아파트",2
2001,36821,127.1385526,36.8100278,"아파트",2
2001,36820,127.1382286,36.8100395,"아파트",2
2001,10224,127.1352136,36.80922268,"아파트",2
2001,19693,127.1370985,36.80845809,"아파트",2
2001,19704,127.1367372,36.80944781,"아파트",2
2001,19702,127.136846,36.80906129,"아파트",2
2001,19707,127.1369899,36.80874853,"아파트",2
2001,146933,127.1508712,36.80443069,"아파트",2
2001,68732,127.1479724,36.80691092,"아파트",2
2001,75431,127.134728,36.78805139,"아파트",2
2001,75427,127.1345753,36.7879283,"아파트",2
2001,75377,127.1353223,36.78764316,"아파트",2
2001,75422,127.1352389,36.78775217,"아파트",2
2001,75381,127.1344523,36.7888077,"아파트",2
2001,75382,127.1342793,36.78886367,"아파트",2
2001,75383,127.1340193,36.78858354,"아파트",2
2001,75419,127.1346349,36.78702273,"아파트",2
2001,75375,127.1352917,36.78730109,"아파트",2
2001,75390,127.1327965,36.78715141,"아파트",2
2001,75391,127.1335202,36.78780029,"아파트",2
2001,75396,127.1346904,36.78839768,"아파트",2
2001,75379,127.1338836,36.78851609,"아파트",2
2001,75387,127.1335074,36.78739838,"아파트",2
2001,75388,127.1336494,36.78746884,"아파트",2
2001,75389,127.1337934,36.78754032,"아파트",2
2001,75413,127.1328599,36.78677691,"아파트",2
2001,75421,127.1352112,36.78786382,"아파트",2
2001,75433,127.1341452,36.78771487,"아파트",2
2001,75432,127.1342892,36.78778636,"아파트",2
2001,75399,127.1332091,36.78842893,"아파트",2
2001,75408,127.13185,36.78793016,"아파트",2
2001,75405,127.13169,36.78792992,"아파트",2
2001,75404,127.131536,36.78767771,"아파트",2
2001,75374,127.1355532,36.78741621,"아파트",2
2001,75402,127.1336204,36.7883855,"아파트",2
2001,75410,127.1325127,36.78765208,"아파트",2
2001,75418,127.1343165,36.78704126,"아파트",2
2001,75386,127.1333634,36.78732689,"아파트",2
2001,75420,127.1342795,36.78685402,"아파트",2
2001,75416,127.1328689,36.78647532,"아파트",2
2001,75417,127.1330263,36.78645882,"아파트",2
2001,75414,127.1331752,36.78644331,"아파트",2
2001,75430,127.1336773,36.7865074,"아파트",2
2001,75384,127.1330212,36.78716871,"아파트",2
2001,75385,127.1331613,36.78723036,"아파트",2
2001,75392,127.1329265,36.78804334,"아파트",2
2001,75409,127.132513,36.78752363,"아파트",2
2001,75393,127.1327825,36.78797186,"아파트",2
2001,75376,127.1351069,36.78720927,"아파트",2
2001,75395,127.1346062,36.78850746,"아파트",2
2001,75429,127.134094,36.78676191,"아파트",2
2001,75412,127.1319072,36.78738564,"아파트",2
2001,75411,127.1326047,36.78717126,"아파트",2
2001,75407,127.1320844,36.78793361,"아파트",2
2001,75397,127.1348113,36.78823762,"아파트",2
2001,75380,127.1344186,36.78869193,"아파트",2
2001,75415,127.1333373,36.78642632,"아파트",2
2001,75401,127.1337561,36.78845296,"아파트",2
2001,75426,127.1344313,36.78785682,"아파트",2
2001,75398,127.1345373,36.78823854,"아파트",2
2001,75428,127.1338582,36.78659718,"아파트",2
2001,75403,127.1315363,36.78754977,"아파트",2
