"term","num"
"동네입니다예전에는","2"
"동부시장","2"
"동전","2"
"돼지","2"
"되겠습니까익산시","2"
"두어","2"
"둘째","2"
"뒤편","2"
"뒷차를","2"
"등록번호판","2"
"라산","2"
"레미콘","2"
"루어","2"
"리라","2"
"마당","2"
"마리","2"
"마을회관","2"
"마찬가지","2"
"만들정도로","2"
"만연","2"
"많으십니다저희는","2"
"매꾸고","2"
"매번로그인하는단계도","2"
"매트","2"
"매표소","2"
"먼저","2"
"먼지","2"
"면박","2"
"면의","2"
"명찰","2"
"모욕","2"
"목적지","2"
"목표","2"
"무엇","2"
"문의","2"
"문화","2"
"물리치료","2"
"미세","2"
"미세먼지때문에","2"
"미소","2"
"미착용","2"
"민원넣는것도","2"
"민원을많이","2"
"밀땅하지마시고","2"
"밀양","2"
"밀집","2"
"바다","2"
"박스","2"
"박씨","2"
"받았습니다그","2"
"발굴","2"
"발상","2"
"발행","2"
"방송사","2"
"방식","2"
"배달업체","2"
"배정","2"
"배치","2"
"배포","2"
"버섯","2"
"번지","2"
"번째차량","2"
"법률","2"
"변변","2"
"별도","2"
"보도","2"
"보상","2"
"보았습니다제","2"
"보장","2"
"보행","2"
"복구공사","2"
"복부","2"
"복지센터","2"
"본원","2"
"봉동","2"
"부당","2"
"부분입니다열린","2"
"부상","2"
"분양","2"
"분양권","2"
"분진","2"
"불가","2"
"불가능","2"
"불법건축물","2"
"불친절","2"
"불쾌","2"
"불쾌합니다민원","2"
"붙여놓았네요답변","2"
"브이","2"
"블럭","2"
"비가","2"
"비눈","2"
"비눈만오면","2"
"비소","2"
"빈번","2"
"빌라","2"
"빗물","2"
"빠너","2"
"빼먹고","2"
"사거리","2"
"사람들이살았던","2"
"사람들입니다현재는","2"
"사랑","2"
"사업장","2"
"사유지","2"
"사정","2"
"사회","2"
"산시","2"
"산책로","2"
"상가","2"
"상서","2"
"상처","2"
"새것","2"
"생각합니다이렇게","2"
"생긴","2"
"생리","2"
"생명","2"
"생업","2"
"서류","2"
"서비스업","2"
"서비스직","2"
"서울시","2"
"서프라이즈","2"
"석산","2"
"선택","2"
"설립","2"
"설천면","2"
"성동구","2"
"성실","2"
"성의","2"
"세워진거는알고는","2"
"세월","2"
"센터","2"
"셔틀버스","2"
"소견","2"
"소유권","2"
"소재","2"
"손바닥","2"
"송금","2"
"수년전","2"
"수백만","2"
"수술","2"
"수정","2"
"숙민공파","2"
"쉬운","2"
"쉼터","2"
"스쿨","2"
"시간을할애해야","2"
"시공","2"
"시급","2"
"시도","2"
"시범","2"
"시야","2"
"시장","2"
"시정요구","2"
"시행규칙","2"
"시행령","2"
"시흥시","2"
"신고자","2"
"신규","2"
"신뢰","2"
"신문고","2"
"신분","2"
"실사","2"
"실시","2"
"실외","2"
"실질적","2"
"심기","2"
"심리","2"
"싶습니","2"
"싶어합니다익산시가","2"
"쌈야채","2"
"쓰레기투기","2"
"아닌거","2"
"아닙니다익산","2"
"아닙니다작은것부터","2"
"아들","2"
"아이디어","2"
"아주머니","2"
"악의적","2"
"악취","2"
"안녕하세요저는","2"
"안녕하십니까","2"
"안일","2"
"안재순","2"
"안켜짐","2"
"않습니다그리고","2"
"않아야는대도미터","2"
"않을까요제안합니다","2"
"않음전북","2"
"알고계시죠타지역","2"
"알림시스템","2"
"앞뒤","2"
"야자","2"
"약국","2"
"약해","2"
"양쪽으로발달된","2"
"얘기","2"
"어느정도","2"
"어른","2"
"어머님","2"
"어양","2"
"어이","2"
"어주","2"
"얼굴","2"
"얼음","2"
"업종","2"
"없었습니다이자체로","2"
"여기","2"
"여러번","2"
"여론","2"
"여름철","2"
"여성","2"
"여지","2"
"역지사지","2"
"연계","2"
"연기","2"
"영덕","2"
"영전","2"
"예고","2"
"예로","2"
"예민","2"
"예방","2"
"예산","2"
"예외","2"
"예정","2"
"오기","2"
"오리골오리올","2"
"오리올","2"
"오산면","2"
"옥상","2"
"올해","2"
"왕지","2"
"요이","2"
"요익","2"
"요제","2"
"요청합니다아스팔트는","2"
"용도","2"
"우기","2"
"우동","2"
"우선","2"
"운전자","2"
"울이","2"
"울타리","2"
"원광보건대학","2"
"월요일","2"
"위로","2"
"유관기관","2"
"유도","2"
"유원기","2"
"육교","2"
"음성군","2"
"읍면","2"
"응금조치를직접","2"
"응급조치","2"
"의무화","2"
"의문입니다만개발이","2"
"의지","2"
"이고","2"
"이근","2"
"이동식","2"
"이동하","2"
"이래","2"
"이런일이","2"
"이리","2"
"이사","2"
"이약","2"
"이외","2"
"이웃","2"
"이젠","2"
"이주","2"
"이행","2"
"이후","2"
"인격","2"
"인공폭포","2"
"인구","2"
"인사","2"
"인지","2"
"인하","2"
"인해","2"
"임전","2"
"있습니","2"
"있습니다곧","2"
"있습니다당장","2"
"있습니다만현재까지도","2"
"있습니다시제나","2"
"있습니다심지어는","2"
"있습니다이곳은","2"
"자기집","2"
"자부","2"
"자연파","2"
"자원봉사","2"
"자제","2"
"자치단체","2"
"작년","2"
"잔돈","2"
"잘보았습니다","2"
"잠깐","2"
"장려","2"
"장모님","2"
"재난","2"
"재산상","2"
"재정비","2"
"저감","2"
"저감대책","2"
"저도잘합니다나라밥먹는공무원이시면","2"
"저뿐만아니라","2"
"전국","2"
"전남편","2"
"전북도","2"
"전액","2"
"전에","2"
"절박","2"
"젊은층","2"
"점검","2"
"접수","2"
"정당","2"
"정보","2"
"정부","2"
"제공","2"
"제기","2"
"제보","2"
"제사","2"
"제안","2"
"조건","2"
"조금","2"
"조선시대","2"
"조언","2"
"조차","2"
"종종","2"
"종중","2"
"좋던데익산은","2"
"주기적","2"
"주말","2"
"주무관","2"
"주시","2"
"죽천","2"
"줄포","2"
"중국에정말","2"
"중년","2"
"중단","2"
"중앙선","2"
"증명","2"
