"term","num"
"서울시민","2"
"석포","2"
"설명","2"
"성과제","2"
"성능","2"
"성의","2"
"세입","2"
"소나무","2"
"소등","2"
"소요","2"
"소유권","2"
"손잡이","2"
"수레","2"
"수렴","2"
"수살","2"
"수십","2"
"수업시간","2"
"수입","2"
"순간","2"
"스레이트","2"
"스트레스","2"
"시간표","2"
"시골","2"
"시공","2"
"시공사","2"
"시기","2"
"시발","2"
"시야","2"
"시의원","2"
"시작","2"
"시점","2"
"시정명령","2"
"시차","2"
"식단","2"
"식당","2"
"식사","2"
"신용","2"
"신청서","2"
"심신","2"
"심장","2"
"싶습니","2"
"싶습시","2"
"아기","2"
"안전보건","2"
"안전사고","2"
"안타","2"
"앞쪽","2"
"야기","2"
"어려움","2"
"얼굴","2"
"엄마","2"
"여름","2"
"여행","2"
"역할","2"
"영업","2"
"영전","2"
"영향성","2"
"예술작품","2"
"예정","2"
"오곡","2"
"오목","2"
"오토바이","2"
"외부","2"
"외양간","2"
"외출","2"
"왼쪽","2"
"요망","2"
"요어","2"
"우림","2"
"우천","2"
"우편","2"
"운반","2"
"운호리","2"
"원상","2"
"월경","2"
"월말","2"
"월요일","2"
"위로","2"
"위반","2"
"위생상태","2"
"위치","2"
"위해","2"
"유치원","2"
"융통성","2"
"은파","2"
"의문","2"
"의원","2"
"이거","2"
"이기","2"
"이동","2"
"이리","2"
"이야기","2"
"이용자","2"
"이웃","2"
"이익","2"
"이편","2"
"이하","2"
"인간","2"
"인격","2"
"인명피해","2"
"인생","2"
"인적사항","2"
"일방","2"
"일본","2"
"일자리","2"
"일처리","2"
"일하","2"
"입금","2"
"입석","2"
"입양","2"
"입주","2"
"입주민","2"
"있는걸로","2"
"있습니다이","2"
"자가","2"
"자기집","2"
"자녀","2"
"자료","2"
"자문위원","2"
"자세","2"
"자재","2"
"자체","2"
"작동","2"
"잡풀","2"
"재개정","2"
"재능","2"
"재설","2"
"재해","2"
"저출산","2"
"적인","2"
"적치","2"
"적치물","2"
"전입","2"
"전자","2"
"전체","2"
"절박","2"
"절토","2"
"점멸","2"
"정보","2"
"제설작업","2"
"제안","2"
"조명","2"
"조발","2"
"조속","2"
"종아리","2"
"죄송","2"
"주말","2"
"주세","2"
"주의","2"
"주체","2"
"주현","2"
"중금속","2"
"중요","2"
"중인","2"
"증산","2"
"지금","2"
"지방","2"
"지방세","2"
"지방자치단체","2"
"지식","2"
"지역민","2"
"지저분","2"
"지점","2"
"지출","2"
"지하수로","2"
"직무","2"
"직장","2"
"질문","2"
"질의","2"
"집행","2"
"짜증","2"
"찍힌모습","2"
"차도","2"
"차별","2"
"창문","2"
"책정","2"
"처방","2"
"처벌","2"
"처음","2"
"철장","2"
"첨탑","2"
"체육시설","2"
"최명재","2"
"추가","2"
"추진","2"
"축하","2"
"충전기","2"
"측정기","2"
"치즈","2"
"친구","2"
"칠목","2"
"침대","2"
"침범","2"
"침엽수","2"
"카메라","2"
"컨트롤","2"
"코너","2"
"쾌적","2"
"큰길","2"
"큰일","2"
"타인","2"
"태풍","2"
"터미널","2"
"테마파크","2"
"테이블","2"
"토록","2"
"토마토","2"
"퇴근","2"
"투척","2"
"트랙터","2"
"트럭","2"
"특정","2"
"파란","2"
"파일","2"
"판매","2"
"패이","2"
"편성","2"
"편의","2"
"평교","2"
"폐기물","2"
"포트","2"
"표지석","2"
"플라스틱","2"
"하겠습니","2"
"하기도","2"
"하루","2"
"하천법","2"
"하트","2"
"한거","2"
"한달","2"
"한세상","2"
"한솔","2"
"한우","2"
"한참","2"
"할거","2"
"할애","2"
"함라","2"
"함라면","2"
"함몰","2"
"해결방안","2"
"핸드폰","2"
"행안면","2"
"행중","2"
"현재","2"
"홈플러스","2"
"화장실","2"
"확인바랍니다빠른","2"
"확장","2"
"활성화","2"
"활용","2"
"황등","2"
"회장","2"
"회정","2"
"후속조치","2"
